"The payment confirmation could not be transmitted to the merchant. Please contact the merchant.","Die Zahlungsbestätigung könnte nicht an den Händler übermittelt werden. Bitte kontaktieren Sie den Händler."
"A technical error occurred. Your order could not be executed.","Ein technischer Fehler ist aufgetreten. Ihr Auftrag konnte nicht durchgeführt werden."
"You have canceled the payment of your order.","Sie haben die Durchführung Ihres Auftrags abgebrochen."
"The order was paid","Der Auftrag wurde bezahlt"
"The order was canceled","Der Auftrag wurde storniert"
"Invoice successfully created","Rechnung erfolgreich erstellt"
"eps Payment","eps-Überweisung"
"Enabled","Aktiviert"
"Title","Titel"
"Test Mode","Testmodus"
"User ID Test","Händler ID Test"
"USER ID","Händler ID"
"New Order Status","Neuer Auftragsstatus"
"Order Status on Success","Auftragsstatus auf Erfolg"
"Order Status on Fail","Auftragsstatus auf Ausfall"
"Payment from Applicable Countries","Zahlung aus gültigen Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Instructions","Anleitung"
"Sort Order","Sortierreihenfolge"
"Accepted Currency","Akzeptierte Währung"